sent,Given_label,Predicted_label
Make remainder,Not Found,Make remainder
Set a reminder on date 23rd November'2016,Not Found,Set date
I need a daily wake up call,wake up call,wake call
remind me 6 pm today eveng,Not Found,Not Found
Hi Pls to make one reminder for me,Not Found,Hi Pls
Remind me at 28 December for recharge,recharge,December recharge
Can u help me with reminder..,Not Found,u help
Can u pls remind me at 7pm on 8 Jan,on 8 Jan,u pls
What is my next reminder?,What,Not Found
Can u please set me an alarm at 7.30 am,Not Found,set alarm
Set a reminder on 4 th Dec of going to meet sonal miss at 2:00 pm,meet sonal miss,going meet sonal miss
Remind me to purchase shoe polish liquid Date:3 Jan Time:6.30 pm,purchase shoe polish,polish liquid Date:3 Jan Time:6.30
Thanks at least I'll remember my loves birthday this time,my loves birthday,remember loves
I setd a reminder but it dint remained me,Not Found,Not Found
Susan dmello meeting with sujit sir remind him Tomorrow,meeting with sujit sir remind him,Susan dmello meeting
I need to set reminder to msg babbu at 7 in evening,msg babbu,msg babbu
Hi give me a reminder to pay LIC Premium on tonight 9 PM,pay LIC Premium,give pay LIC Premium
3 alarms 7:15 am 7:30 am 7:45 am,Not Found,Not Found
Daily,Not Found,Not Found
Remind me to go to bank at 11 am today,go to bank,go bank
Remind me to buy eggs on next Monday and Tuesday at 9pm,buy eggs,buy eggs
Please remind me for internal audit review meeting at 12.45 today,internal audit review meeting,internal audit review meeting
One more reminder I have,Not Found,Not Found
Evening 5 o'clock,Not Found,Not Found
Remind me of SBI card payment of rs 4465 by 04/12/16 11am,SBI card payment of rs 4465,card payment rs
Unsubscribe me from all the reminder,Not Found,Not Found
Thanks for reminding 🙏🙏🙏,Not Found,reminding 🙏🙏🙏
And a reminder tomorrow at 11.30 am to go through basic codings and share markets.,go through basic codings and share markets,go basic codings share markets
Need all reminders list from starting till now,Not Found,Need reminders
Hi can u please set a reminder for me at 2pm,Not Found,u please
I want reminder before 10 mins..,Not Found,Not Found
Hii. Can you set alarm at 11pm,Hii. Can you set alarm,set alarm
Please remind me on Tuesday that I have an appointment at YLG for hair spa at 4.15,I have an appointment and hair spa,appointment YLG hair
19th December Tejas birthday,Not Found,December Tejas birthday
Can you remind me when i am offline,Not Found,Not Found
Date of 26,Not Found,Not Found
Shradha can u remind me at 5:30,Not Found,Not Found
Can you please remind me to fill a file at 9 pm today,fill a file,fill file
Remind to work on design qualification documents,work on design qualification documents,work design qualification documents
N please remind me to send pics to Rajeshwari in the first week of Jan,send pics to Rajeshwari,send pics Rajeshwari
10 pm jhalak reminder,Not Found,Not Found
Shall I get 2 calls or 1call in the morning?,Not Found,Not Found
Remind me at 5:15pm today,Not Found,Not Found
Remind me for a work,a work,Not Found
Just remind me to take 500/- from raj sir,take 500/- from raj sir,take 500/- raj sir
Can you remind me at 12:00 pm today to start my studies,start my studies,start studies
9828562148. Remind me,Not Found,Not Found
Pls give me jogging reminder at 7 pm,give me jogging reminder,Not Found
Thanks sir,Not Found,Not Found
Oh thanks to remember,Not Found,Not Found
Remind me to prepare home tutor profile,prepare home tutor profile,prepare home tutor profile
How to make my work schedule list in one week ago? Kindly give me any sample file in excel if you have.,any sample file,Kindly give sample file excel
One more reminder for security mail n tea coffee for event at 11.30 am tomorow,security mail n tea coffee,security mail n tea coffee event
Can u set a reminder of 10 am,Not Found,Not Found
Can you set an alarm for me,Not Found,set alarm
And a reminder for uploading pictures on Google drive on Saturday at 11 am,uploading pictures on Google drive,uploading pictures Google drive
Remind me to fill government form,fill government form,fill government form
Remind me to tak3 my meds every morning at 9,tak3 my meds,tak3 meds
Can you remind me tommorow about trignomentry,trignomentry,tommorow trignomentry
Thanks for all the reminders. They really helped me out.,all the reminders and helped me out,Thanks reminders
Remind me to carry a bottle when i go out at 2.00 pm,carry a bottle when i go out,carry bottle
How to reset the reminder,Not Found,Not Found
Remind me about ferns&petalson6/1/17,ferns&petalson6,Not Found
Remind me for tatkal train ticket reservation...on 14.12.2016 at 9.00 AM,tatkal train ticket reservation...,tatkal train ticket reservation
Set reminder on 8th to take tickets of railway on any time,take tickets of railway on any time,take tickets
Remind me at 11,Not Found,Not Found
Thnx for your alarm,Not Found,Thnx alarm
Who reminded me,Not Found,Not Found
Remind me on 17th Dec and 19th December for to choreograph a sequence for Amdocs which is on 20th December.,choreograph a sequence for Amdocs which,December choreograph sequence Amdocs
Remind me next monday to plan inspection for nazir bhai class at 8pm,plan inspection for nazir bhai class,next plan inspection
I need the support pipeline reminder every friday,Not Found,need support pipeline
Pl remind me tomorrow take my weeding cards with me.,take my weeding cards with me,take weeding cards
Pls remind me to ask my gf why her boss shouted at her,ask my gf why her boss shouted,Pls ask gf boss
Next reminder,Not Found,Not Found
I need a reminder. Every day. At 2.30 pm and 5.30 pm to message my wife.,message my wife,Every day
Tuesday remind Mrs manna for ground,Mrs manna for ground,Mrs manna ground
I want set sm reminder for tomorrow n the day aftr tomorrow,Not Found,set sm
Remind me today at 8:45pm for get dress from ironing,get dress from ironing,get dress ironing
Set alarm for tuition,Not Found,Set alarm tuition
Want a reminder at 8.20pm,Not Found,Not Found
Remind me to select the best T-shirt from my collection,select the best T-shirt,select best T-shirt collection
2 pm now meeting today,meeting,Not Found
remind to download MAT admit card on 3rd december 2pm,download MAT admit card,download MAT
